WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=1075.7 (overall: 995.6) avg_msec=46.640 (overall: 50.168)
                                                                   
SET: rps=992.0 (overall: 995.6) avg_msec=50.205 (overall: 50.168)
                                                                  
SET: rps=964.1 (overall: 995.3) avg_msec=51.779 (overall: 50.182)
                                                                  
SET: rps=1004.0 (overall: 995.4) avg_msec=50.020 (overall: 50.180)
                                                                   
SET: rps=1076.0 (overall: 996.0) avg_msec=46.784 (overall: 50.150)
                                                                   
SET: rps=1012.0 (overall: 996.2) avg_msec=48.809 (overall: 50.138)
                                                                   
SET: rps=1032.0 (overall: 996.5) avg_msec=48.502 (overall: 50.124)
                                                                   
SET: rps=1023.9 (overall: 996.7) avg_msec=48.689 (overall: 50.112)
                                                                   
SET: rps=976.0 (overall: 996.5) avg_msec=51.207 (overall: 50.121)
                                                                  
SET: rps=956.3 (overall: 996.2) avg_msec=51.939 (overall: 50.135)
                                                                  
SET: rps=980.1 (overall: 996.1) avg_msec=51.692 (overall: 50.147)
                                                                  
SET: rps=1000.0 (overall: 996.1) avg_msec=49.243 (overall: 50.140)
                                                                   
SET: rps=964.1 (overall: 995.9) avg_msec=51.955 (overall: 50.154)
                                                                  
SET: rps=968.0 (overall: 995.6) avg_msec=51.827 (overall: 50.167)
                                                                  
SET: rps=960.2 (overall: 995.4) avg_msec=52.350 (overall: 50.183)
                                                                  
SET: rps=996.0 (overall: 995.4) avg_msec=50.490 (overall: 50.185)
                                                                  
SET: rps=1055.8 (overall: 995.8) avg_msec=47.231 (overall: 50.161)
                                                                   
SET: rps=996.0 (overall: 995.8) avg_msec=49.797 (overall: 50.159)
                                                                  
SET: rps=1004.0 (overall: 995.9) avg_msec=49.913 (overall: 50.157)
                                                                   
SET: rps=1052.0 (overall: 996.3) avg_msec=47.901 (overall: 50.139)
                                                                   
SET: rps=1008.0 (overall: 996.4) avg_msec=49.198 (overall: 50.132)
                                                                   
SET: rps=952.2 (overall: 996.1) avg_msec=52.375 (overall: 50.148)
                                                                  
SET: rps=988.0 (overall: 996.0) avg_msec=50.734 (overall: 50.152)
                                                                  
SET: rps=1004.0 (overall: 996.1) avg_msec=49.644 (overall: 50.148)
                                                                   
SET: rps=984.1 (overall: 996.0) avg_msec=50.915 (overall: 50.154)
                                                                  
SET: rps=992.0 (overall: 996.0) avg_msec=50.100 (overall: 50.153)
                                                                  
SET: rps=1048.0 (overall: 996.3) avg_msec=48.163 (overall: 50.139)
                                                                   
SET: rps=1012.0 (overall: 996.4) avg_msec=49.622 (overall: 50.135)
                                                                   
SET: rps=1075.7 (overall: 997.0) avg_msec=46.510 (overall: 50.107)
                                                                   
SET: rps=1056.0 (overall: 997.4) avg_msec=46.879 (overall: 50.084)
                                                                   
SET: rps=1079.7 (overall: 998.0) avg_msec=46.494 (overall: 50.057)
                                                                   
SET: rps=968.0 (overall: 997.8) avg_msec=51.532 (overall: 50.067)
                                                                  
SET: rps=992.0 (overall: 997.7) avg_msec=50.280 (overall: 50.068)
                                                                  
SET: rps=984.1 (overall: 997.6) avg_msec=50.637 (overall: 50.072)
                                                                  
SET: rps=992.0 (overall: 997.6) avg_msec=50.630 (overall: 50.076)
                                                                  
SET: rps=988.0 (overall: 997.5) avg_msec=50.492 (overall: 50.078)
                                                                  
SET: rps=1027.9 (overall: 997.7) avg_msec=48.848 (overall: 50.070)
                                                                   
SET: rps=980.1 (overall: 997.6) avg_msec=50.694 (overall: 50.074)
                                                                  
SET: rps=976.1 (overall: 997.5) avg_msec=51.285 (overall: 50.082)
                                                                  
SET: rps=884.9 (overall: 996.7) avg_msec=56.192 (overall: 50.117)
                                                                  
SET: rps=1072.0 (overall: 997.2) avg_msec=47.297 (overall: 50.098)
                                                                   
SET: rps=1016.0 (overall: 997.3) avg_msec=48.385 (overall: 50.087)
                                                                   
SET: rps=1008.0 (overall: 997.4) avg_msec=50.623 (overall: 50.090)
                                                                   
SET: rps=1016.0 (overall: 997.5) avg_msec=48.485 (overall: 50.080)
                                                                   
SET: rps=972.2 (overall: 997.4) avg_msec=51.603 (overall: 50.089)
                                                                  
SET: rps=960.0 (overall: 997.1) avg_msec=52.265 (overall: 50.102)
                                                                  
SET: rps=984.1 (overall: 997.1) avg_msec=50.691 (overall: 50.106)
                                                                  
SET: rps=980.0 (overall: 996.9) avg_msec=51.511 (overall: 50.114)
                                                                  
SET: rps=1059.8 (overall: 997.3) avg_msec=46.777 (overall: 50.092)
                                                                   
SET: rps=1072.0 (overall: 997.8) avg_msec=46.694 (overall: 50.070)
                                                                   
SET: rps=1039.8 (overall: 998.0) avg_msec=48.231 (overall: 50.059)
                                                                   
SET: rps=1004.0 (overall: 998.1) avg_msec=49.371 (overall: 50.054)
                                                                   
SET: rps=984.0 (overall: 998.0) avg_msec=50.597 (overall: 50.058)
                                                                  
SET: rps=976.0 (overall: 997.9) avg_msec=51.724 (overall: 50.067)
                                                                  
SET: rps=1056.0 (overall: 998.2) avg_msec=47.739 (overall: 50.053)
                                                                   
SET: rps=1059.8 (overall: 998.6) avg_msec=47.017 (overall: 50.034)
                                                                   
SET: rps=956.2 (overall: 998.3) avg_msec=51.819 (overall: 50.044)
                                                                  
SET: rps=1047.8 (overall: 998.6) avg_msec=47.996 (overall: 50.031)
                                                                   
SET: rps=1008.0 (overall: 998.7) avg_msec=48.880 (overall: 50.025)
                                                                   
SET: rps=960.0 (overall: 998.4) avg_msec=52.445 (overall: 50.038)
                                                                  
SET: rps=976.1 (overall: 998.3) avg_msec=51.347 (overall: 50.045)
                                                                  
SET: rps=988.0 (overall: 998.3) avg_msec=50.837 (overall: 50.050)
                                                                  
SET: rps=1071.7 (overall: 998.7) avg_msec=46.499 (overall: 50.028)
                                                                   
SET: rps=1008.0 (overall: 998.7) avg_msec=48.455 (overall: 50.019)
                                                                   
SET: rps=956.0 (overall: 998.5) avg_msec=53.363 (overall: 50.037)
                                                                  
SET: rps=1012.0 (overall: 998.6) avg_msec=49.539 (overall: 50.034)
                                                                   
SET: rps=1012.0 (overall: 998.6) avg_msec=49.421 (overall: 50.031)
                                                                   
SET: rps=1004.0 (overall: 998.7) avg_msec=49.197 (overall: 50.026)
                                                                   
SET: rps=992.0 (overall: 998.6) avg_msec=50.776 (overall: 50.030)
                                                                  
SET: rps=972.1 (overall: 998.5) avg_msec=51.384 (overall: 50.037)
                                                                  
SET: rps=972.1 (overall: 998.3) avg_msec=51.281 (overall: 50.044)
                                                                  
SET: rps=996.0 (overall: 998.3) avg_msec=50.284 (overall: 50.045)
                                                                  
SET: rps=996.0 (overall: 998.3) avg_msec=50.521 (overall: 50.048)
                                                                  
SET: rps=944.2 (overall: 998.0) avg_msec=52.422 (overall: 50.060)
                                                                  
SET: rps=992.0 (overall: 998.0) avg_msec=50.696 (overall: 50.063)
                                                                  
SET: rps=944.2 (overall: 997.7) avg_msec=52.674 (overall: 50.076)
                                                                  
SET: rps=980.1 (overall: 997.6) avg_msec=51.373 (overall: 50.083)
                                                                  
SET: rps=1044.0 (overall: 997.9) avg_msec=48.114 (overall: 50.072)
                                                                   
SET: rps=1075.7 (overall: 998.3) avg_msec=45.963 (overall: 50.049)
                                                                   
SET: rps=984.1 (overall: 998.2) avg_msec=50.892 (overall: 50.053)
                                                                  
SET: rps=1048.0 (overall: 998.4) avg_msec=48.238 (overall: 50.044)
                                                                   
SET: rps=1015.9 (overall: 998.5) avg_msec=48.925 (overall: 50.038)
                                                                   
SET: rps=1055.8 (overall: 998.8) avg_msec=47.439 (overall: 50.024)
                                                                   
SET: rps=984.0 (overall: 998.8) avg_msec=50.119 (overall: 50.024)
                                                                  
SET: rps=964.1 (overall: 998.6) avg_msec=52.390 (overall: 50.036)
                                                                  
SET: rps=1000.0 (overall: 998.6) avg_msec=49.830 (overall: 50.035)
                                                                   
SET: rps=892.4 (overall: 998.1) avg_msec=53.555 (overall: 50.051)
                                                                  
SET: rps=992.0 (overall: 998.0) avg_msec=52.353 (overall: 50.062)
                                                                  
SET: rps=1004.0 (overall: 998.1) avg_msec=50.053 (overall: 50.062)
                                                                   
SET: rps=992.0 (overall: 998.0) avg_msec=50.360 (overall: 50.063)
                                                                  
SET: rps=988.0 (overall: 998.0) avg_msec=50.624 (overall: 50.066)
                                                                  
SET: rps=1015.9 (overall: 998.1) avg_msec=48.591 (overall: 50.059)
                                                                   
SET: rps=992.0 (overall: 998.0) avg_msec=51.180 (overall: 50.064)
                                                                  
SET: rps=952.2 (overall: 997.8) avg_msec=52.095 (overall: 50.073)
                                                                  
SET: rps=956.2 (overall: 997.6) avg_msec=51.957 (overall: 50.082)
                                                                  
SET: rps=956.0 (overall: 997.4) avg_msec=52.519 (overall: 50.093)
                                                                  
SET: rps=980.1 (overall: 997.3) avg_msec=51.373 (overall: 50.099)
                                                                  
SET: rps=996.0 (overall: 997.3) avg_msec=50.334 (overall: 50.100)
                                                                  
SET: rps=1008.0 (overall: 997.4) avg_msec=49.663 (overall: 50.098)
                                                                   
SET: rps=1023.9 (overall: 997.5) avg_msec=49.052 (overall: 50.093)
                                                                   
SET: rps=1072.0 (overall: 997.8) avg_msec=46.632 (overall: 50.076)
                                                                   
SET: rps=980.1 (overall: 997.8) avg_msec=50.382 (overall: 50.077)
                                                                  
SET: rps=980.1 (overall: 997.7) avg_msec=50.970 (overall: 50.081)
                                                                  
SET: rps=964.1 (overall: 997.5) avg_msec=51.972 (overall: 50.090)
                                                                  
SET: rps=1004.0 (overall: 997.6) avg_msec=49.542 (overall: 50.087)
                                                                   
SET: rps=1012.0 (overall: 997.6) avg_msec=49.809 (overall: 50.086)
                                                                   
SET: rps=1012.0 (overall: 997.7) avg_msec=49.274 (overall: 50.082)
                                                                   
SET: rps=940.2 (overall: 997.4) avg_msec=52.859 (overall: 50.094)
                                                                  
SET: rps=960.2 (overall: 997.3) avg_msec=52.336 (overall: 50.104)
                                                                  
SET: rps=1052.0 (overall: 997.5) avg_msec=47.698 (overall: 50.092)
                                                                   
SET: rps=1015.9 (overall: 997.6) avg_msec=49.126 (overall: 50.088)
                                                                   
SET: rps=1020.0 (overall: 997.7) avg_msec=49.290 (overall: 50.084)
                                                                   
SET: rps=972.1 (overall: 997.6) avg_msec=50.653 (overall: 50.087)
                                                                  
SET: rps=1000.0 (overall: 997.6) avg_msec=50.657 (overall: 50.089)
                                                                   
SET: rps=1039.8 (overall: 997.8) avg_msec=48.248 (overall: 50.081)
                                                                   
